set_id;age;gender;country;ethnicity;device_model;age_printed_1;age_printed_2;1_id_photo_resolution;2_id_photo_resolution;1_selfie_photo_resolution;2_selfie_photo_resolution;3_selfie_photo_resolution;4_selfie_photo_resolution;5_selfie_photo_resolution;6_selfie_photo_resolution;7_selfie_photo_resolution;8_selfie_photo_resolution;9_selfie_photo_resolution;10_selfie_photo_resolution;11_selfie_photo_resolution;12_selfie_photo_resolution;13_selfie_photo_resolution;1_id_photo_extension;2_id_photo_extension;1_selfie_photo_extension;2_selfie_photo_extension;3_selfie_photo_extension;4_selfie_photo_extension;5_selfie_photo_extension;6_selfie_photo_extension;7_selfie_photo_extension;8_selfie_photo_extension;9_selfie_photo_extension;10_selfie_photo_extension;11_selfie_photo_extension;12_selfie_photo_extension;13_selfie_photo_extension
1;45;FEMALE;Ukraine;European;Samsung M31;16;25;962 x 1000;907 x 1000;1000 x 563;1000 x 563;1000 x 563;1000 x 563;1000 x 563;1000 x 563;1000 x 563;1000 x 563;1000 x 563;1000 x 563;1000 x 563;1000 x 563;1000 x 563;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg
2;24;MALE;Pakistan ;Asian;Infinix note11;18;23;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg
3;35;MALE;Egypt ;Middle Eastern;Infinix note 10;33;34;1000 x 750;1000 x 748;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg
4;19;FEMALE;Nigeria ;African;Tecno Pop 7;18;18;750 x 1000;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 563;1000 x 563;1000 x 563;1000 x 563;1000 x 627;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpeg;jpg;jpeg;jpg;jpg
5;31;FEMALE;South Africa;African;Samsung A05;25;17;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;1000 x 750;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg
6;25;MALE;Philippines;Asian;Iphone 15 Pro Max;22;21;750 x 1000;750 x 1000;750 x 1000;750 x 1000;750 x 1000;750 x 1000;750 x 1000;750 x 1000;750 x 1000;750 x 1000;750 x 1000;750 x 1000;750 x 1000;750 x 1000;750 x 1000;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg
7;20;MALE;Srilanka ;Asian;Samsung a71;7;6;1000 x 667;1000 x 667;1000 x 750;1000 x 750;2448 x 3264;2448 x 3264;2448 x 3264;3264 x 2448;3264 x 2448;4896 x 6528;4896 x 6528;3264 x 2448;4896 x 6528;3264 x 2448;3264 x 2448;jpg;jpg;jpg;jpg;heic;heic;heic;heic;heic;heic;heic;heic;heic;heic;heic
8;25;MALE;Kwnya;African;Oppo a16k;20;21;1000 x 563;1000 x 563;1000 x 563;1000 x 563;1000 x 563;1000 x 563;1000 x 563;1000 x 563;1000 x 563;1000 x 563;1000 x 563;1000 x 563;1000 x 563;1000 x 563;1000 x 563;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg
9;23;FEMALE;Centro america ;European;Samsung a 21;17;19;1000 x 750;1000 x 750;1000 x 1000;1280 x 720;1000 x 750;1000 x 562;1000 x 562;1000 x 562;1000 x 562;1000 x 562;1000 x 562;1000 x 562;1000 x 563;1000 x 750;1000 x 448;jpg;jpg;jpg;webp;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg;jpg
10;32;FEMALE;Turkey ;Middle Eastern;iPhone 12 mini ;30;31;750 x 1000;750 x 1000;750 x 1000;750 x 1000;750 x 1000;750 x 1000;750 x 1000;750 x 1000;750 x 1000;750 x 1000;750 x 1000;750 x 1000;750 x 1000;750 x 1000;750 x 1000;jpeg;jpeg;jpeg;jpeg;jpeg;jpeg;jpeg;jpeg;jpeg;jpeg;jpeg;jpeg;jpeg;jpeg;jpeg
